assists_per_90_overall,key_passes_per_90_overall,goals_per_90_overall,npxg_per_90_overall,xa_per_90_overall,shots_per_90_overall,passes_completed_per_90_overall
0.0,1.38,0.35,0.28,0.21,1.64,24.84
0.0,2.08,0.0,0.0,0.2,0.0,51.25
0.0,0.68,0.0,0.04,0.08,0.68,32.05
0.1,0.81,0.0,0.02,0.22,0.41,61.66
0.0,,0.0,,,,
0.0,0.68,0.0,0.04,0.12,1.07,37.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,,,,
0.11,2.52,0.11,0.11,0.28,1.01,20.17
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.04,0.0,0.04,0.07,1.04,16.13
0.0,0.0,0.0,0.07,0.05,1.73,26.83
0.0,0.76,0.0,0.0,0.07,0.0,23.16
0.0,,0.0,,,,
0.37,2.25,0.37,0.3,0.39,0.85,58.03
0.15,1.81,0.0,0.04,0.34,0.82,77.33
0.0,1.36,0.0,0.0,0.15,0.1,49.13
0.0,0.35,0.0,0.01,0.1,0.35,44.47
0.0,,0.0,,,,
0.0,,0.0,,,,
0.17,2.75,0.25,0.18,0.29,2.17,41.25
0.09,1.6,0.09,0.09,0.24,0.75,52.02
0.38,2.28,0.38,0.16,0.38,1.33,33.57
0.0,1.56,0.39,0.26,0.1,0.78,28.05
0.0,0.0,0.71,0.0,0.0,0.0,0.0
0.0,0.97,0.14,0.14,0.15,1.52,47.77
0.0,,0.0,,,,
0.0,0.83,0.0,0.02,0.1,0.41,33.08
0.0,1.3,0.0,0.07,0.1,2.61,26.09
0.0,0.64,0.0,0.0,0.14,0.0,52.07
0.15,1.19,0.15,0.1,0.23,0.3,48.35
0.09,0.95,0.09,0.1,0.18,1.24,40.85
0.3,2.27,0.6,0.01,0.39,2.27,44.21
0.12,0.61,0.0,0.0,0.11,0.0,39.92
0.0,,0.0,,,,
0.35,1.62,0.0,0.03,0.33,0.48,50.75
0.0,0.0,0.0,0.02,0.12,0.32,56.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.61,0.0,0.02,0.08,0.61,23.49
0.09,0.79,0.18,0.13,0.21,0.79,57.28
0.0,1.98,0.26,0.18,0.15,0.6,26.87
0.17,2.33,0.09,0.1,0.29,1.12,54.41
0.0,45.0,0.0,1.35,1.8,45.0,45.0
0.09,1.25,0.44,0.13,0.23,1.06,55.65
0.12,2.52,0.24,0.15,0.23,2.04,26.04
0.22,1.33,0.0,0.05,0.25,1.33,31.62
0.86,0.87,0.0,0.13,0.63,2.6,36.35
0.0,1.51,0.0,-0.01,0.2,1.83,63.01
0.0,,0.0,,,,
0.73,1.1,0.37,0.01,0.52,1.83,32.56
0.74,1.18,0.0,0.08,0.11,2.37,22.5
0.81,0.81,0.0,0.08,0.53,1.62,29.19
0.0,,0.0,,,,
0.24,1.94,0.0,0.06,0.3,1.39,29.72
0.0,,0.0,,,,
0.0,2.37,0.0,0.14,0.28,2.37,116.05
0.0,1.43,0.2,0.18,0.08,1.21,22.31
